Entity,Code,Year,"Physicians (per 1,000 people)"
United Kingdom,GBR,2006,2.45
United Kingdom,GBR,2007,2.481
United Kingdom,GBR,2008,2.559
United Kingdom,GBR,2009,2.642
United Kingdom,GBR,2010,2.645
United Kingdom,GBR,2011,2.682
United Kingdom,GBR,2012,2.69
United Kingdom,GBR,2013,2.702
United Kingdom,GBR,2014,2.738
United Kingdom,GBR,2015,2.767
United Kingdom,GBR,2016,2.773
United Kingdom,GBR,2017,2.802
United Kingdom,GBR,2018,2.828
United Kingdom,GBR,2019,2.932
United Kingdom,GBR,2020,3.028
United States,USA,1960,1.1
United States,USA,1965,1.2
United States,USA,1970,1.2
United States,USA,1975,1.3
United States,USA,1976,1.3
United States,USA,1977,1.3
United States,USA,1978,1.4
United States,USA,1979,1.4
United States,USA,1980,1.5
United States,USA,1981,1.5
United States,USA,1982,1.6
United States,USA,1983,1.6
United States,USA,1986,1.7
United States,USA,1987,1.8
United States,USA,1988,1.8
United States,USA,1989,1.8
United States,USA,1990,1.8
United States,USA,1991,1.9
United States,USA,1992,1.9
United States,USA,1993,1.9
United States,USA,1995,2.411
United States,USA,2000,2.596
United States,USA,2004,2.711
United States,USA,2018,2.548
United States,USA,2019,3.482
United States,USA,2020,3.518
